name,price,category,source,url,scraped_at,source_label
"Leggings femme en maille, coupe legging – Noir.",76.84,vetements,jumia,,2026-06-11T17:15:12.025546,
PC PORTABLE EliteBook 840-CORE INTEL i5-RAM 8Go- 500Go HDD -CARTABLE ET SOURIS GRATUIT-GARANTIE DE 6,1860.9,laptops,jumia,,2026-06-12T12:55:00.517992,
Robe Pour Femmes - Beige,185.2,vetements,jumia,,2026-06-12T12:56:21.744140,
PC PORTABLE HP 450 G3 6EME GEN-I7-RAM 8G-256 SSD-REMIS A NEUF - AZERTY,2391.26,laptops,jumia,,2026-06-12T13:03:05.503105,
PC Portable Latitude 3150-CORE INTEL CELERON-RAM 4G-256GO SSD-SOURIS GRATUITE- ECRAN 12´´-REMIS A NE,1438.57,laptops,jumia,,2026-06-12T13:06:52.112209,
ECOUTEURS TYPE-C Halo Airy Filaires OEP-650,67.98,smartphones,jumia,,2026-06-12T13:12:12.902885,
A100C 6.6’’ – 8GB (3+5) RAM +128 ROM – Gold,890.52,smartphones,jumia,,2026-06-12T13:24:55.125072,
Ordinateur tout en un ThinkCentre Core i5 8eme Ram 8 Disque dur 256 go ssd Remis a Neuf,3566.52,laptops,jumia,,2026-06-12T13:27:34.651094,
Chemise longue à manches longues Coupe régulière,134.35,vetements,jumia,,2026-06-12T13:29:08.264650,
Smart TV QLED 4K 55'' - Garantie 24 Mois,4858.8,tv,jumia,,2026-06-12T13:30:23.779133,
Écouteur woman plus,50.58,smartphones,jumia,,2026-06-12T13:30:38.279718,
Woman Regular Fit Long Sleeve Knitted Dress,98.5,vetements,jumia,,2026-06-12T13:31:39.689107,
"Galaxy A07 – 6.7"" – 128 Go – 4 Go RAM – Helio G99 – 5000 mAh/25W – 50MP – Vert",1297.74,smartphones,jumia,,2026-06-12T13:32:12.412579,
T-shirt basique à col rond et manches courtes Coupe régulière,59.95,vetements,jumia,,2026-06-12T13:32:18.711384,
Casque Bluetooth Tune 520BT – Bleu,519.06,smartphones,jumia,,2026-06-12T13:32:38.137324,
"EliteBook 840 G8 - Core i5 11éme Génération - 16 Go - 512 Go - Ecran 14""Tactile - PC Portable Profes",3891.24,laptops,jumia,,2026-06-12T13:32:50.074097,
precision 5680-i9 13900H-32GB-1TB SSD-Azerty-Win 11Pro-Garantie 24 Mois-Gris,47854.42,laptops,jumia,,2026-06-12T13:35:39.847743,
Pro 3500 Intel® i5 Ram 4 Go DDR3-SDRAM 250Go HDD Windows 8 Pro Micro Tower PC Noir,475.52,laptops,jumia,,2026-06-12T13:35:45.015663,
Latitude 5400 Core i5 8ème 8 Go RAM 256 Go SSD écran 14 pouces remise à neuf,2260.27,laptops,jumia,,2026-06-12T13:36:08.292367,
"ThinkPlus LP75 écouteurs sans fil avec son HiFi , idéal pour sport",192.64,smartphones,jumia,,2026-06-12T13:36:10.257996,
"iPhone 17 Pro Max 256 Go 6,9"" 12 Go RAM Puce A19 Pro Argent iOS",16024.64,smartphones,jumia,,2026-06-12T13:36:37.289972,
Télévision Samsung Smart TV 55QN90 55 pouces Néo QLED – Prix,13257.86,tv,micromagma,,2026-06-12T13:38:23.924388,
"50 4K Crystal UHD Smart TV Tizen HDR10+, Son OTS Lite, Design Sans Bords +Support gratuit, 50U8200F",4072.83,tv,jumia,,2026-06-12T13:38:52.690494,
HP ProBook 445R G6 AMD Ryzen 5 3500U RAM 8Go DDR4 256Gb SSD AZERTY - REMIS A NEUF,2799.06,laptops,jumia,,2026-06-12T13:39:05.442217,
Jellaba Brodée Noir - RMJL340E24,199.47,vetements,jumia,,2026-06-12T13:39:25.913564,
TV 50 Smart QLED Q68 - Bluetooth - Design ultra fin 25mm - 100% Color Volume,5487.28,tv,jumia,,2026-06-12T13:40:10.840704,
"Téléviseur Google TV 43"" FHD – Modèle GTV430DW8",1991.45,tv,jumia,,2026-06-12T13:40:37.699546,
Smart watch montre pour enfant D20 Bracelet de fitness,92.04,smartphones,jumia,,2026-06-12T13:40:38.134557,
Apple MacBook Air 15.3 pouces M3 CPU 8 cœurs GPU 10 cœurs 512Go SSD 16Go RAM | PRIX,13874.95,laptops,micromagma,,2026-06-12T13:41:30.732463,
F6S – 13.3” – Intel Celeron N3350 – 8 Go RAM – 128 Go SSD (Non remis à neuf),1444.7,laptops,jumia,,2026-06-12T13:41:35.185480,
Smart TV 55 OLED S85F 4K Vision AI,13780.41,tv,jumia,,2026-06-12T13:42:14.253866,
"32"" Smart Tv LED Récepteur WIFI TNT USB HDMI dernière génération de S5",1669.28,tv,jumia,,2026-06-12T13:43:43.721304,
A100C 6.6’’ – 6GB (2+4) RAM + 64 ROM – Vert,819.29,smartphones,jumia,,2026-06-12T13:44:01.358467,
"Débardeur Côtelé Brodé À Col Roulé Mi-Long Pour Femme, Coupe Ajustée - D5544AX",88.36,vetements,jumia,,2026-06-12T13:44:05.928756,
XIAOMI Chargeur MI 120W Original – Recharge Ultra Rapide et Sécurisée,186.11,smartphones,jumia,,2026-06-12T13:46:12.027658,
Pack 2en1 Montre Ultra Intelligente + Écouteurs Pro5 Bluetooth,114.62,smartphones,jumia,,2026-06-12T13:46:45.466588,
"55 4K Ultra HD HDR10 Smart Google TV Processeur 4K X1 Dolby Audio + Support Gratuit, KD-55X75K",4604.58,tv,jumia,,2026-06-12T13:47:11.902999,
"Elitedesk 600 G3 Mini Core i5 - 6th Gén - 8Go, 256Go SSD avec Ecran EliteDisplay E232 23"" - Remis à",2324.07,laptops,jumia,,2026-06-12T13:47:17.830382,
Galaxy Fit 3 - SILVER,434.24,smartphones,jumia,,2026-06-12T13:48:50.783382,
Woman Relax Fit Shirt Neck Woven Long Sleeve Tunic - Green.,148.38,vetements,jumia,,2026-06-12T13:49:33.396748,
HP Elite Tower 800 G9 i5-14500 256Go 8Go RAM 99B36ET – Prix,19355.9,laptops,micromagma,,2026-06-12T13:49:46.334370,
"Smart TV 75"" QLED Q7F 4K Vision AI",20524.46,tv,jumia,,2026-06-12T13:50:02.085692,
"Z220 PC Gamer - Intel Xeon E3-1240 V2 3,10 GHz - 8Go DDR3 - 256Go SSD - 500Go SATA - ASUS GTX 1050ti",5952.37,laptops,jumia,,2026-06-12T13:50:58.159735,
