produit,prix,plateforme,categorie,timestamp,date
pack de 10 slips pour femme,168.72,jumia,vetements,1781209673.2200406,2026-06-12 13:57:31
"43 Smart Tv FHD Bezeless Google TV, Dolby Audio, Chromecast, Bluetooth, HDR",2211.45,jumia,tv,1781209673.2211337,2026-06-12 13:57:31
"Galaxy A17 - 6.7"" 4G - 6 Go + 128 Go - Noir - 2 ans de garantie",1778.7,jumia,smartphones,1781209673.222018,2026-06-12 13:57:31
"Téléviseur REVOLUTION 24"" LED – Haute Définition (HD) – Récepteur Satellite Intégré & TNT – Design Compact",882.88,marjane,tv,1781209673.2252624,2026-06-12 13:57:31
Samsung - Galaxy A07 LTE 64GB + 4GB - Light Violet,1085.23,marjane,smartphones,1781209673.2267363,2026-06-12 13:57:31
Chargeur Pc Portable USB-C 65W Adaptable Compatible Pour HP Dell Lenovo Samsung Huawei,191.24,marjane,laptops,1781209673.228331,2026-06-12 13:57:32
Télévision AIWA SMART TV LED 32 pouces – Prix,1697.9,micromagma,tv,1781209673.233757,2026-06-12 13:57:32
Motorola Edge 60 Pro 512Go 12Go RAM | PRIX,4924.25,micromagma,smartphones,1781209673.2351062,2026-06-12 13:57:32
Samsung Galaxy S21 5G 256Go 8Go RAM | PRIX,3802.35,micromagma,smartphones,1781209673.236023,2026-06-12 13:57:32
GILET EN MAILLE COL POLO,480.97,zara,vetements,1781209673.2393928,2026-06-12 13:57:32
ROBE MINI SATINÉE À FAJÍN,418.76,zara,vetements,1781209673.240405,2026-06-12 13:57:33
TOP BUSTIER EN MAILLE,330.33,zara,vetements,1781209673.2413557,2026-06-12 13:57:33
Chaussettes Courtes Coton 5 Femme,56.35,jumia,vetements,1781209683.2630453,2026-06-12 13:57:33
Desktop 500,3458.01,jumia,laptops,1781209683.2658763,2026-06-12 13:57:33
Pantalon en viscose large taille haute avec poches,87.03,jumia,vetements,1781209683.2704887,2026-06-12 13:57:33
"Smart TV 55"" QLED 4K UHD Smart Google TV, Dolby Vision, HDR10+, HDMI x4, 2 ans garantie + Support Gratuit, H55S80FUX",4721.62,marjane,tv,1781209683.277282,2026-06-12 13:57:33
"Smart TV - SONIC - 50"" - 4K UHD - Dolby Audio - Design sans bord - Récepteur TNT HD",3404.59,marjane,tv,1781209683.2792563,2026-06-12 13:57:34
"1pc 360° Rotating Smartphone Tripod with Adjustable Grip, Durable Thick Plastic Design for Stable Shooting & Live Streaming",197.74,marjane,smartphones,1781209683.2807014,2026-06-12 13:57:34
ZTE nubia Z60S Pro 512Go 12Go RAM | PRIX,4967.66,micromagma,smartphones,1781209683.287515,2026-06-12 13:57:34
"DELL Precision 3591 Ultra 7-165H 15,6 pouces RTX 1000 Ada 6G 1To 32Go RAM DL-PR3591-RTX6GB | PRIX",29450.4,micromagma,laptops,1781209683.288457,2026-06-12 13:57:34
vivo Y19s 256Go 6Go RAM – Prix,1375.11,micromagma,smartphones,1781209683.289395,2026-06-12 13:57:34
T-SHIRT À MANCHES TOMBANTES,224.83,zara,vetements,1781209683.2934494,2026-06-12 13:57:34
TOP CÔTELÉ À BRETELLES,147.68,zara,vetements,1781209683.2942276,2026-06-12 13:57:35
BANDANA EN SOIE IMPRIMÉ FLEURS ET PIERRE,264.43,zara,vetements,1781209683.295126,2026-06-12 13:57:35
Prodesk 280 G1 MT Intel Core i5-4590s I 8Gb Ram I 512GB SSD I Remis à Neuf,1093.31,jumia,laptops,1781209693.303553,2026-06-12 13:57:35
Pyjama Velours Ensemble 3 pièces pour femme ROSE KACHIRI,206.92,jumia,vetements,1781209693.305015,2026-06-12 13:57:35
Coque transparente Magsafe pour Honor X9c c Noir,58.17,jumia,smartphones,1781209693.3062196,2026-06-12 13:57:35
"Smart Téléviseur 32"" SMART TV 32H10S FRAMELESS",1566.14,marjane,tv,1781209693.3115478,2026-06-12 13:57:36
"Téléviseur REVOLUTION 24"" LED – Haute Définition (HD) – Récepteur Satellite Intégré & TNT – Design Compact",880.3,marjane,tv,1781209693.3138096,2026-06-12 13:57:36
"Zte Smartphone 4G 6.6"" Gsm-64GB-Ram 8 GB RAM(4Go + 4Go)-A34 Deverrouillage facial",1077.13,marjane,smartphones,1781209693.3158808,2026-06-12 13:57:36
Télévision Visio 50 pouces SMART TV 4K UHD | PRIX,3270.38,micromagma,tv,1781209693.324788,2026-06-12 13:57:36
"Télévision TCL Smart TV HD, 32 pouces 32S5200 | PRIX",1579.56,micromagma,tv,1781209693.3273842,2026-06-12 13:57:36
